run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20250531-23:58:16-8468,runattr,,,configname,General,,
General-0-20250531-23:58:16-8468,runattr,,,datetime,20250531-23:58:16,,
General-0-20250531-23:58:16-8468,runattr,,,datetimef,20250531-235816,,
General-0-20250531-23:58:16-8468,runattr,,,experiment,General,,
General-0-20250531-23:58:16-8468,runattr,,,inifile,omnetpp.ini,,
General-0-20250531-23:58:16-8468,runattr,,,iterationvars,,,
General-0-20250531-23:58:16-8468,runattr,,,iterationvarsd,,,
General-0-20250531-23:58:16-8468,runattr,,,iterationvarsf,,,
General-0-20250531-23:58:16-8468,runattr,,,measurement,,,
General-0-20250531-23:58:16-8468,runattr,,,network,Network,,
General-0-20250531-23:58:16-8468,runattr,,,processid,8468,,
General-0-20250531-23:58:16-8468,runattr,,,repetition,0,,
General-0-20250531-23:58:16-8468,runattr,,,replication,#0,,
General-0-20250531-23:58:16-8468,runattr,,,resultdir,results,,
General-0-20250531-23:58:16-8468,runattr,,,runnumber,0,,
General-0-20250531-23:58:16-8468,runattr,,,seedset,0,,
General-0-20250531-23:58:16-8468,config,,,network,Network,,
General-0-20250531-23:58:16-8468,config,,,sim-time-limit,200s,,
General-0-20250531-23:58:16-8468,config,,,Network.node[0].app.interArrivalTime,exponential(1),,
General-0-20250531-23:58:16-8468,config,,,Network.node[0].app.packetByteSize,125000,,
General-0-20250531-23:58:16-8468,config,,,Network.node[0].app.destination,5,,
General-0-20250531-23:58:16-8468,config,,,Network.node[2].app.interArrivalTime,exponential(1),,
General-0-20250531-23:58:16-8468,config,,,Network.node[2].app.packetByteSize,125000,,
General-0-20250531-23:58:16-8468,config,,,Network.node[2].app.destination,5,,
General-0-20250531-23:58:16-8468,vector,Network.node[0].app,SendedPackets,,,"0.898560388484 1.821783519955 3.773328855839 4.324377342509 5.301383768902 5.786511932624 6.139671071762 6.198055740855 9.512968020783 11.081864138406 11.834538251719 12.673971104619 14.482340368894 14.556025724359 14.967603720602 15.058764746726 16.103377255034 19.25354718371 21.294439399622 21.9361485723 23.541388129362 25.155390204255 25.890354625445 27.026293567155 27.152167976593 28.427395678817 28.582125359317 29.352960017784 30.774324697878 31.512151989634 31.624098150267 32.159663870495 32.466944222648 32.673147504678 34.008437689302 34.617520112485 34.762798139777 34.781766708978 35.173537519655 36.134918458721 36.386360390796 36.874917440104 39.752832461382 40.3505785382 40.796097033251 41.370629439992 43.696980501686 44.795892969237 45.854727100725 46.965324546412 47.10335323484 48.492395924631 48.944497984856 49.788925778384 54.24342262456 54.477724143336 55.485743388756 56.54448610385 57.416401957476 57.708482490743 58.243547167826 58.871488748817 59.51526975042 59.795546758899 60.77241083297 61.184912062892 62.252984260042 62.401696529294 63.908331862567 64.368345820307 65.454615201185 67.174946858902 68.294761224656 68.395795999965 71.969384372309 74.074705673101 74.132032599525 75.060511096426 75.660457983067 77.004703255219 77.024893383365 77.064869682423 77.64774807129 81.539318194135 82.074202569892 84.578114352977 85.410957869043 87.41419839155 87.512848699968 90.053153207927 90.139923690267 92.789179618943 92.930510332504 93.972290986683 95.232224796792 95.573878963818 95.88139668758 96.083747126147 96.966876168106 96.987188626902 97.167440878887 98.9331819513 99.776264983448 101.105022857198 101.672927010678 101.958947983186 103.36997239248 104.228365360309 104.732709166897 106.996442742758 107.248862735649 110.301144392533 110.893768419985 112.767228299842 113.969466867089 114.092993514451 114.446013647725 115.902832206289 116.433554702906 116.938573450661 119.068072846729 121.202903296712 122.382286230357 123.270147640794 124.34798252493 125.109850296226 125.371907537901 126.404704548546 126.907015346807 127.458411336941 128.422864902435 129.066969610758 129.425896826628 130.505217025284 130.847816649982 131.810191705753 132.370152775827 134.477600380777 135.371329459083 136.225409194726 139.697944674008 139.850238299262 140.30841118322 140.410731798073 140.983193349501 145.121003110011 145.891079969557 146.485153467881 146.59076611151 149.110048241593 150.94978102667 151.111651113382 153.461828403133 155.487737220236 155.526020133121 155.703345708266 156.659312132188 158.169135587797 160.171122083323 160.70112496146 160.851915971654 161.374786001742 162.570224568024 163.037497134434 163.641796206282 164.186653334427 165.466987538239 165.921899383031 169.631859974935 170.078112795454 172.962724547556 173.151019522775 173.565632065434 174.301763165421 174.35763321831 174.580772426411 174.77860193387 176.357014655976 176.780671757333 179.66521604574 180.602354763463 181.510318790788 181.542675595433 183.0735068217 183.125189727495 183.986113364176 184.257781434518 189.136914322512 189.903993977084 191.901165944574 193.210951315936 193.584837811839 194.392817865238 194.900682987925 195.139435860773 195.374960434192 195.626559047305 195.873418316104 196.716397091518 198.061744524752 198.663423511276","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
